1116,1000,1000,64,0
1227,1000,1000,32,0
1486,1000,1000,24,0
1713,1000,1000,16,0
3218,1000,1000,8,0
5327,1000,1000,4,0
6474,1000,1000,2,0
12927,1000,1000,1,0
4227,2000,1000,64,0
4719,2000,1000,32,0
5257,2000,1000,24,0
7136,2000,1000,16,0
12858,2000,1000,8,0
21295,2000,1000,4,0
25881,2000,1000,2,0
51716,2000,1000,1,0
8994,3000,1000,64,0
10232,3000,1000,32,0
12577,3000,1000,24,0
15372,3000,1000,16,0
28979,3000,1000,8,0
47921,3000,1000,4,0
81643,3000,1000,2,0
116378,3000,1000,1,0
1076,1000,1000,64,0
1195,1000,1000,32,0
1569,1000,1000,24,0
2011,1000,1000,16,0
3217,1000,1000,8,0
5331,1000,1000,4,0
6470,1000,1000,2,0
12922,1000,1000,1,0
2336,1000,2000,64,0
2327,1000,2000,32,0
2963,1000,2000,24,0
4198,1000,2000,16,0
6392,1000,2000,8,0
10563,1000,2000,4,0
12764,1000,2000,2,0
25497,1000,2000,1,0
3196,1000,3000,64,0
3673,1000,3000,32,0
4181,1000,3000,24,0
6072,1000,3000,16,0
9568,1000,3000,8,0
15799,1000,3000,4,0
19047,1000,3000,2,0
38062,1000,3000,1,0
4211,1000,4000,64,0
4675,1000,4000,32,0
5633,1000,4000,24,0
7657,1000,4000,16,0
12735,1000,4000,8,0
21028,1000,4000,4,0
25346,1000,4000,2,0
50628,1000,4000,1,0
4745,1000,5000,64,0
5971,1000,5000,32,0
6867,1000,5000,24,0
9793,1000,5000,16,0
15915,1000,5000,8,0
26261,1000,5000,4,0
31745,1000,5000,2,0
63185,1000,5000,1,0
