909,1000,1000,64,0
908,1000,1000,32,0
902,1000,1000,24,0
982,1000,1000,16,0
1622,1000,1000,8,0
3237,1000,1000,4,0
6462,1000,1000,2,0
12929,1000,1000,1,0
3596,2000,1000,64,0
3595,2000,1000,32,0
3605,2000,1000,24,0
3909,2000,1000,16,0
6470,2000,1000,8,0
12933,2000,1000,4,0
25843,2000,1000,2,0
51682,2000,1000,1,0
8070,3000,1000,64,0
8060,3000,1000,32,0
8062,3000,1000,24,0
8800,3000,1000,16,0
14580,3000,1000,8,0
29097,3000,1000,4,0
58151,3000,1000,2,0
116308,3000,1000,1,0
911,1000,1000,64,0
907,1000,1000,32,0
904,1000,1000,24,0
979,1000,1000,16,0
1625,1000,1000,8,0
3229,1000,1000,4,0
6447,1000,1000,2,0
12888,1000,1000,1,0
1793,1000,2000,64,0
1784,1000,2000,32,0
1804,1000,2000,24,0
1941,1000,2000,16,0
3225,1000,2000,8,0
6365,1000,2000,4,0
12725,1000,2000,2,0
25438,1000,2000,1,0
2668,1000,3000,64,0
2667,1000,3000,32,0
2664,1000,3000,24,0
2884,1000,3000,16,0
4840,1000,3000,8,0
9503,1000,3000,4,0
18981,1000,3000,2,0
37967,1000,3000,1,0
3547,1000,4000,64,0
3540,1000,4000,32,0
3569,1000,4000,24,0
3839,1000,4000,16,0
6329,1000,4000,8,0
12647,1000,4000,4,0
25249,1000,4000,2,0
50488,1000,4000,1,0
4401,1000,5000,64,0
4417,1000,5000,32,0
4415,1000,5000,24,0
4803,1000,5000,16,0
7898,1000,5000,8,0
15771,1000,5000,4,0
31514,1000,5000,2,0
63029,1000,5000,1,0
