1,1000,1000,4,4,256,256,6.16635
1,1000,1000,8,8,128,128,6.16635
1,1000,1000,16,16,64,64,6.16635
89,1000,1000,32,32,32,32,0
121,1000,1000,42,42,24,24,0
57,1000,1000,63,63,16,16,0
58,1000,1000,125,125,8,8,0
228,1000,1000,250,250,4,4,0
396,1000,1000,500,500,2,2,0
1337,1000,1000,1000,1000,1,1,0
39,5000,5000,20,20,256,256,6.26814
39,5000,5000,40,40,128,128,6.26814
39,5000,5000,79,79,64,64,6.26814
1027,5000,5000,157,157,32,32,0
1432,5000,5000,209,209,24,24,0
954,5000,5000,313,313,16,16,0
918,5000,5000,625,625,8,8,0
2385,5000,5000,1250,1250,4,4,0
8601,5000,5000,2500,2500,2,2,0
33272,5000,5000,5000,5000,1,1,0
153,10000,10000,40,40,256,256,6.23431
152,10000,10000,79,79,128,128,6.23431
155,10000,10000,157,157,64,64,6.23431
3633,10000,10000,313,313,32,32,0
5248,10000,10000,417,417,24,24,0
3144,10000,10000,625,625,16,16,0
3375,10000,10000,1250,1250,8,8,0
8807,10000,10000,2500,2500,4,4,0
33621,10000,10000,5000,5000,2,2,0
130857,10000,10000,10000,10000,1,1,0

with 30000 resolution we find Segmentation fault, due to the big amount of data we reserve
