0.26,10000000000,1024
0.25,10000000000,512
0.71,10000000000,256
1.09,10000000000,128
2.02,10000000000,64
4.34,10000000000,32
8.71,10000000000,16
17.44,10000000000,8
34.87,10000000000,4
69.74,10000000000,2
138.93,10000000000,1
1.79,100000000000,1024
2.65,100000000000,512
5.34,100000000000,256
9.46,100000000000,128
20.88,100000000000,64
43.55,100000000000,32
87.21,100000000000,16
174.32,100000000000,8
348.68,100000000000,4
696.97,100000000000,2
1390.91,100000000000,1
17.93,1000000000000,1024
23.88,1000000000000,512
66.41,1000000000000,256
94.97,1000000000000,128
210.34,1000000000000,64
435.49,1000000000000,32
871.52,1000000000000,16
