0,1000,1000,-nan
0,1000,1000,-nan
164,1000,1000,-nan
176,1000,1000,-nan
172,1000,1000,-nan
173,1000,1000,-nan
167,1000,1000,-nan
180,1000,1000,-nan
169,1000,1000,-nan
187,1000,1000,-nan
162,1000,1000,-nan
168,1000,1000,-nan
170,1000,1000,-nan
146,1000,1000,-nan
158,1000,1000,-nan
145,1000,1000,-nan
171,1000,1000,-nan
162,1000,1000,-nan
148,1000,1000,-nan
150,1000,1000,-nan
144,1000,1000,-nan
163,1000,1000,-nan
155,1000,1000,-nan
156,1000,1000,-nan
155,1000,1000,-nan
154,1000,1000,-nan
2845,1000,1000,-nan
1155,1000,1000,-nan
1142,1000,1000,3.87298
1135,1000,1000,3.87298
1141,1000,1000,3.87298
1162,1000,1000,3.87298
3322,2000,1000,3.87298
1113,1000,1000,3.87298
2552,1000,1000,3.87298
